image_path,caption
/home/padmanabhan.h/datasets/coco/train2017/000000391810.jpg,a red fire engine is parked on the grass and some people
/home/padmanabhan.h/datasets/coco/train2017/000000189306.jpg,A brilliantly colored bird sitting on a tree branch
/home/padmanabhan.h/datasets/coco/train2017/000000476651.jpg,Two tennis players are smiling on each side of the court net.
/home/padmanabhan.h/datasets/coco/train2017/000000012706.jpg,A crowd of people standing below the Eiffel tower.
/home/padmanabhan.h/datasets/coco/train2017/000000532503.jpg,A woman taking a selfie near a ledge
/home/padmanabhan.h/datasets/coco/train2017/000000107800.jpg,People getting off and on a blue train.
/home/padmanabhan.h/datasets/coco/train2017/000000104718.jpg,The bathroom is clean and ready to be used.
/home/padmanabhan.h/datasets/coco/train2017/000000397486.jpg,A knife on a handcrafted wooden cutting board
/home/padmanabhan.h/datasets/coco/train2017/000000462080.jpg,A bowl of a Apples and Oranges sitting in the sunlight.
/home/padmanabhan.h/datasets/coco/train2017/000000391304.jpg,a man in a suit is walking across a bridge
/home/padmanabhan.h/datasets/coco/train2017/000000510230.jpg,Two street signs that are above a stop sign.
/home/padmanabhan.h/datasets/coco/train2017/000000066662.jpg,A tow truck with a van on back of it.
/home/padmanabhan.h/datasets/coco/train2017/000000141718.jpg,a dog stands in front of a Frisbee on the beach in front of some calm waves
/home/padmanabhan.h/datasets/coco/train2017/000000126319.jpg,A man flying through the air while riding a snowboard.
/home/padmanabhan.h/datasets/coco/train2017/000000483754.jpg,A man standing on a beach flying a kite.
/home/padmanabhan.h/datasets/coco/train2017/000000226695.jpg,A bathroom vanity with a sink in a bathroom.
/home/padmanabhan.h/datasets/coco/train2017/000000281578.jpg,The dog is asleep on the bed in the room
/home/padmanabhan.h/datasets/coco/train2017/000000004840.jpg,there is a male skateboarder that is doing a trick in the air
/home/padmanabhan.h/datasets/coco/train2017/000000219558.jpg,A woman walks down the street while talking on the phone and holding a cup of coffee.
/home/padmanabhan.h/datasets/coco/train2017/000000086584.jpg,a personal pepperoni pizza on a white plate
/home/padmanabhan.h/datasets/coco/train2017/000000162055.jpg,A tall square tower with some turrets and a clock at the top
/home/padmanabhan.h/datasets/coco/train2017/000000221234.jpg,an elephant in the wild coming across the grasslands
/home/padmanabhan.h/datasets/coco/train2017/000000167322.jpg,"A giraffe is overlooking a barren plain, behind trees."
/home/padmanabhan.h/datasets/coco/train2017/000000324291.jpg,a man leading a little horse with a girl on its back
